Code,Description,FirearmType
1955,.45-100 BALLARD,00
1954,.45-100 REMINGTON,00
1845,.45-100 SHARPS,00
1939,.45-110 SHARPS,00
1953,.45-120 SHARPS,00
1956,.45-125 WCF,00
1982,.45-60 WIN,00
2713,.45-70 GOVERNMENT,00
2414,.45-70 GOVERNMENT,00
3090,.45-70 GOVERNMENT,00
3396,.45-70 GOVERNMENT/12GA,00
2712,.45-70 VAN CHOATE,00
1957,.45-70 VAN CHOATE,00
1696,.45-75 WCF,00
1621,.45-85-285,00
2089,.45-90 SHARPS,00
1668,.45-90 WCF,00
2122,.450 (BLANK),00
2176,.450 (BLANK),00
"3374,"".450 3 1/4"""" BP EXP"",00"
"3369,"".450 3 1/4"""" NE"",00"
1881,.450 ACKLEY MAG,00
2718,.450 ACKLEY MAGUM,00
3691,.450 ADAMS,00
2748,.450 ADAMS,00
2725,.450 ADAMS,00
2719,.450 ALASKAN,00
2720,.450 ASSEGAI,00
1926,.450 ASSEGAI,00
1823,.450 BLACK POWDER EXP,00
3577,.450 BUSHMASTER,00
3048,.450 BUSHMASTER,00
2722,.450 DAKOTA,00
2580,.450 ELEY,00
3601,.450 G&A SHORT MAG,00
1733,.450 MAJOOR,00
2747,.450 MARLIN,00
2723,.450 MARLIN,00
3062,.450 MARLIN,00
3258,.450 MART HENRY / 12GA,00
3342,.450 MARTINI HENRY,00
2721,.450 MASHBURN MAG,00
3049,.450 MONKEY TAIL,00
3102,.450 NE / 12GA,00
2159,.450 NITRO EXPRESS,00
3284,.450 NO 1 MUSKET,00
3120,.450 NO 2 MUSKET,00
3119,.450 NO 2 MUSKET / 12GA,00
3116,.450 NO 2 MUSKET / 16GA,00
3045,.450 NO2 NITRO EXPRESS,00
3167,.450 REVOLVER,00
1936,.450 RIGBY,00
2724,.450 RIGBY,00
3591,.450 RIGBY MATCH / 16GA,00
1690,.450 WATTS MAG,00
3033,.450 WEBLEY,00
904,.450/.455,00
294,.450/.577,00
"3357,"".450/400 3 1/4"""" BP EXP"",00"
"2763,"".450/400 3 1/4"""" MAG NE"",00"
2972,.450/400 BPE / 12GA,00
3180,.450/400 BPE / 28GA,00
"2762,"".450/400 MAG NE (3"""")"",00"
"2761,"".450/400 NIT (2 3/8"""" BP)"",00"
119,.451 DETONICS (MAGNUM),00
2064,.454 CASULL,00
411,.454 CASULL,00
2073,.454 CASULL,00
2111,.455 (BLANK),00
2746,.455 COLT,00
3094,.455 ELEY,00
3253,.455 ELEY,00
3021,.455 REVOLVER MK II,00
2745,.455 WEBLEY,00
3392,.455 WEBLEY  / 12GA,00
512,.455 WEBLEY AUTOMTIC,00
906,.455/.476,00
1796,.455/.577,00
2155,.458 AFRICAN EXPRESS,00
1990,.458 EXPRESS,00
"1967,"".458 EXPRESS 3"""""",00"
1968,.458 LOTT,00
2554,.458 SOCOM (11.63Ã40MM),00
2586,.458 SOCOM (11.63Ã40MM),00
2744,.458 SOCOM(11.63Ã40MM),00
3509,.458 WIN,00
280,.458 WIN MAG,00
