Code,Description
3295,FOURIE
2649,FR WILH HEYM
2210,FRANCARM
267,FRANCHI (LUIGI)
4231,FRANCOLIN
4459,FRANCONIA
875,FRANCOTTE
4210,FRANK S JONES INC
2013,FRANK WELLS
2515,FRANKLIN
1080,FRANKONIA
883,FRANZ JAEGER
2047,FRANZ KETTNER
3515,FRANZ NEUBER & SOHN
2777,FRANZ SODIA
164,FRANZ STOCK
1472,FRED WILLIAMS
210,FREEDOM ARMS
4358,FRITZ WEISS
367,FROMMER
2152,FT BAKER
1596,FUJI
2295,FULLER
2471,FULTON ARMORY (F.A.)
773,FURR ARMS
3023,FUSIL PERFEX
4460,FX AIRGUNS
1337,G 3
1638,G E LEWIS
2765,G F PERRINS
3143,G KERSTEN
3278,G&B
4305,G. MERCENIER
1350,G. ULBRICHT
4521,G.L.RASCH
4178,GA FICHARDT & CO
213,GABILONDO
2500,GALAND
268,GALIL
327,GALLUS
1862,GALLYON & SONS
2692,GAMAGE
1384,GAMO
1795,GARAND (M1)
366,GARATE ANITUA
4006,GARATE Y MENDIBE
214,GARCIA
3093,GARDNER
3342,GARRETT ARMS
3683,GARY REEDER
2595,GASPAR ARIZAGA
1471,GASSER
2806,GASTINNE RENETTE
3546,GAT
1611,GATLING
1116,GAUCHER
374,GAVAGE
2630,GAZELLE
2018,GAZTANAGA
204,GECADO
4383,GECADO SUHL
212,GECO (GUSTAV GENSCHOW)
2891,GEEN/NONE
4490,GEISSELE AUTOMATICS
2575,GENERAL ARMS
1560,GENERAL MOTORS
4315,GENESIS ARMS
2061,GEORG KNAAK
2833,GEORGE BATE
1419,GEORGE GIBBS
4322,GEORGE H DAW
2932,GEORGE HINTON & SONS
3264,GEORGES LALOUX
99,GERMAN
3974,GERMAN SPORT GUNS (GSG)
2263,GERMANICA
218,GEVARM
1562,GEVELOT
3483,GEYGER
4185,GF STÃRMER
4338,GFORCE ARMS
1857,GIBBS
2266,GILBERT
4028,GILBOA
3799,GIRSAN
2416,GITTI UMBERTO
3159,GLENFIELD
448,GLISENTI
2317,GLOBE
64,GLOCK
3630,GOL
4241,GOLANI
615,GOLDEN EAGLE
331,GOLDEN STATE
1190,GONIC
2033,GOODWIN & CO
856,GOROSABEL
1893,GOW & SON
4154,GPC9 (DENEL LAND SYS)
328,GRADOGAS
3807,GRAND POWER
3019,GRANGE GUN COMPANY
3690,GRANITE MOUNTAIN ARMS
2455,GRAS (FUSIL)
427,GREAT WESTERN ARMS(GWA)
1370,GREENER
3201,GREENFIELD
885,GREIFELT & CO
63,GRENDEL
1679,GRIFFIN & HOWE
1940,GRIFFITHS
2292,GRIFFON
1167,GRISWOLD & GUNNISON
2211,GRIZZLY
3808,GRULLA ARMAS
1683,GRUNDY LONGLAND
2313,GRUNIG & ELMIGER
4312,GSA
396,GUARDIAN
2882,GUEDES
2395,GUEINICA
391,GUISASOLA
1388,GUN TECH INTERARMS
2330,GUNMARK
4182,GUNWERKS
3952,GUSTAV RIGHTER BRESLAU
3646,GUSTLOFF WERKE
4116,GWAZA
1986,GYE & MONCRIEFF
3540,H ARTHUR WARD
1815,H E POLLARD & CO
2953,H G BAUCHER
1931,H HODGSON
4275,H HOLLAND
2665,H JAQUET A GENEV
4261,H KOON INC
4386,H L FENTON & CO
3131,H LEUE AND TIMPE
3194,H M QUACKENBUGH
4294,H ORTMANN
2034,H. GOTZ
4285,H. KNEIPP
3712,H.CLARKE
4356,H.G.CORDES
1726,H.GINGELL
4341,H.LAPIE
4360,H.R SLEEMAN & CO
3752,HABICHT
3020,HAENEL
565,HAENEL SUHL
136,HAFDASA
2546,HAIWATHA
3498,HAKIM
4373,HALL MFG
2577,HALLIDAY & SONS
220,HAMILTON RIFLE
4158,HAMM & CO
156,HAMMERLI
1984,HAMMOND BROS
2381,HANS HOLZ
2899,HAPECO
37,HAR&RICHARDSON (H&R)
1905,HARDY
2769,HARDY BRO'S
2758,HARKOM
3191,HARMANOS
2392,HARRIS
1988,HARRISON & HUSSEY LTD
3391,HARRODS
3656,HART
598,HARTFORD ARMS  CO
3276,HARTMANN & WEISS
1107,HASKELL
3506,HATSAN
158,HAWES
1158,HAWKEN
178,HAWTHORNE
3290,HEALTHWAYS
3109,HEBEL
130,HECKLER & KOCH
376,HEGE WAFFEN
3178,HEINZELMANN
4494,HELIX 6 PRECISION
127,HELWAN
2412,HEMBRUG
2671,HENRY
2290,HENRY ATKIN
3417,HENRY EGG
2141,HENRY PIPER
2654,HENRY TOLLEY
152,HERBERT SCHMIDT
616,HERCULES
2457,HERITAGE
886,HEROLD
1473,HERSTAL
2269,HERTERS
202,HEYM
1739,HI-POINT
13,HI-STANDARD
4535,HIGH STANDARD
4486,HIGH STANDARD MFG.CORP.
4242,HIGHMAN&LAUBSCHER
1983,HILL
4431,HILL COUNTRY RIFLES
1369,HILLSDONS
1606,HILTI GUN
1715,HINTON & SONS
57,"HJS INDUSTRIES, INC"
2083,HK/21
226,HOBAN
2255,HOF-BUCHSENMACHER
2094,HOFFMAN
1022,HOLLAND & HOLLAND
2214,HOLLIS & SHEATH
1449,HOLLIS & SONS
2026,HOLLOWAY & NAUGHTON
1929,HOOTON & JONES
2652,HOPEFIELD
77,HOPKINS & ALLEN
4323,HORACE SOLEY & CO
4527,HORIZON FIREARMS
3273,HORNET
1985,HORSLEY & SONS
4290,HORST KNOPF
2080,HORTON
2420,HOVEA
1039,HOWA
390,HOWARD
3880,HPI
1805,HS
4415,HS PRODUKT
2150,HT GRAINGER & CO
2219,HUBERTUS
2360,HUGLU
4464,HUGTEK ARMS
122,HUNGARIAN
4189,HUNT GROUP
648,HUNTER ARMS
4194,HUSAN ARMS
148,HUSQVARNA
2487,HUSSEY & HUSSEY
1201,HW
4530,HW PRECISION
162,HY HUNTER
243,HY SCORE
3010,I HOLLIS AND SONS
113,I M I
2780,I W LAIRD
2404,I.G.I
393,I.N.A.
3152,IAB GARDONE
61,IAI
2506,IBARGUN
1109,IBERIA FIREARMS
2403,IBIS
3363,IBM CORP
360,IDEAL
4513,IFF (INTER FIREARMS FACTORY)
649,IGA
2133,IGI DOMINO
2198,IHP
2716,IJEVISK
1530,IMBEL
2581,IMMAN MEFFERT
4382,IMPACT PRECISION SHOOTING
4291,IMPERIAL GUN CO
4402,INFINITE ARMS
2501,INFINITY
1198,INGLIS
70,INGRAM
2270,INLAND
4544,INNER MOUNTAIN RIFLE STOCKS
4467,INTER F/ARM FACT (IFF)
74,INTERARMS
452,INTERDYNAMIC
4500,INTERNATIONAL BARRELS
12,INTRATEC
1488,INVECTOR
2195,INVESTARM
363,IRIS ORBEA
4441,ISD BULGARIA LTD
1392,ISHAPORE
4070,ISSC
2435,ITALO GRA
198,ITHACA
28,IVER JOHNSON
3456,IVROL
4308,IWI
4041,IZARM
